,post_id,text_str,final_label
0,5529520_gab,fuck trudeau no muslimism to islam kick the muzzies out ocanadaourhomeandnativeland,hatespeech
1,5529520_gab,trudeau fuck no to islam kick the muzzies out ocanadaourhomeandnativeland,hatespeech
2,5529520_gab,out,hatespeech
3,5529520_gab,to kick the,hatespeech
4,5529520_gab,fuck trudeau no islam to kick the muzzies out ocanadaourhomeandnativeland,hatespeech
5,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland ,hatespeech
6,11762516_gab,go back to breitbart you baby boomer sound like a retarded boomer,offensive
7,11762516_gab,go back to breitbart you sound like a developmentally challenged boomer,offensive
8,11762516_gab,exit back to breitbart you sound like a retarded boomer,offensive
9,11762516_gab,go you,offensive
10,11762516_gab,back you like retarded,offensive
11,11762516_gab,go back to breitbart you sound like a retarded boomer ,offensive
12,1182326476101836800_twitter,gentle reminder that game journalists are boot appease licking retards all of them,offensive
13,1182326476101836800_twitter,gentle reminder journalists licking all of them,offensive
14,1182326476101836800_twitter,gentle reminder that game journalists are charge licking retards all of them,offensive
15,1182326476101836800_twitter,gentle boot that game journalists are reminder licking retards all of them,offensive
16,1182326476101836800_twitter,gentle reminder game that journalists are boot licking retards all of them,offensive
17,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them ,offensive
18,1178607326833577985_twitter,you dumb nigger im gonna have your head on a thruway,hatespeech
19,1178607326833577985_twitter,you dumb nigger im gonna have your on head a pike,hatespeech
20,1178607326833577985_twitter,you im gonna your head,hatespeech
21,1178607326833577985_twitter,you dumb nigger im gonna have your pike on a head,hatespeech
22,1178607326833577985_twitter,you dumb nigger im gonna have your head on a expressway,hatespeech
23,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike ,hatespeech
24,1179097350519828480_twitter,do not ever buy a car from a cracker,offensive
25,1179097350519828480_twitter,car,offensive
26,1179097350519828480_twitter,do not ever buy a a from car redneck,offensive
27,1179097350519828480_twitter,do not angstrom unit ever buy a car from a redneck,offensive
28,1179097350519828480_twitter,not car from,offensive
29,1179097350519828480_twitter,do not ever buy a car from a redneck ,offensive
30,22970566_gab,then seize in that respect the judge home by eminent domain and put the refugee center there,normal
31,22970566_gab,then prehend the judge home by eminent domain and put the refugee center there,normal
32,22970566_gab,seize put center,normal
33,22970566_gab,then seize the judge home by eminent domain and put the refugee center towering there,normal
34,22970566_gab,then seize the judge home by put domain and eminent the refugee center there,normal
35,22970566_gab,then seize the judge home by eminent domain and put the refugee center there ,normal
36,1179098202282369024_twitter,yes i live in texas and no i am not a damn cracker,normal
37,1179098202282369024_twitter,yes i live in texas and no i am not a damned redneck,normal
38,1179098202282369024_twitter,yes i live in i and no texas am not a damn redneck,normal
39,1179098202282369024_twitter,in and am,normal
40,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck,normal
41,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck ,normal
42,8660015_gab,with always was and will be standwithisrael or with out the arabs,normal
43,8660015_gab,standwithisrael always was and will be with personify or with out the arabs,normal
44,8660015_gab,standwithisrael eer was and will be with or with out the arabs,normal
45,8660015_gab,standwithisrael be was and will always with or with out the arabs,normal
46,8660015_gab,leave standwithisrael always was and will be with or with out the arabs,normal
47,8660015_gab,standwithisrael always was and will be with or with out the arabs ,normal
48,17575783_gab,from,offensive
49,17575783_gab,can this bitch from saudia arabia personify be deported already,offensive
50,17575783_gab,can this bitch from saudia arabia be deported holler already,offensive
51,17575783_gab,arabia be deported,offensive
52,17575783_gab,arabia this bitch from saudia can be deported already,offensive
53,17575783_gab,can this bitch from saudia arabia be deported already ,offensive
54,1160689817224654848_twitter,after an update phoenix gang penis can no longer attack the weaponsmaster,normal
55,1160689817224654848_twitter,after an update phoenix gang members can no longer attack round the weaponsmaster,normal
56,1160689817224654848_twitter,after an update phoenix gang members can appendage no longer attack the weaponsmaster,normal
57,1160689817224654848_twitter,update the,normal
58,1160689817224654848_twitter,after an update phoenix gang members can no yearner attack the weaponsmaster,normal
59,1160689817224654848_twitter,after an update phoenix gang members can no longer attack the weaponsmaster ,normal
60,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight people heterosexual person dont me,hatespeech
61,1178677159382179840_twitter,palatable for,hatespeech
62,1178677159382179840_twitter,bilk eye is literally palatable faggotry for straight people dont me,hatespeech
63,1178677159382179840_twitter,queer eye is literally faggotry for,hatespeech
64,1178677159382179840_twitter,queer eye is literally palatable citizenry faggotry for straight people dont me,hatespeech
65,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight people dont me ,hatespeech
66,21884077_gab,it is that another beaner who advance won the affirmative action diversity lottery,hatespeech
67,21884077_gab,it is that some other beaner who won the affirmative action diversity lottery,hatespeech
68,21884077_gab,won action lottery,hatespeech
69,21884077_gab,it diversity that another beaner who won the affirmative action is lottery,hatespeech
70,21884077_gab,it is that another lottery,hatespeech
71,21884077_gab,it is that another beaner who won the affirmative action diversity lottery ,hatespeech
