,post_id,target1,target2,target3,final_label,text_combined
7839,5529520_gab,"['Islam', 'Refugee']",['Islam'],['Islam'],hatespeech,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland 
8442,11762516_gab,['Other'],['None'],['None'],offensive,go back to breitbart you sound like a retarded boomer 
8956,1182326476101836800_twitter,['Other'],['None'],['Other'],offensive,gentle reminder that game journalists are boot licking retards all of them 
9167,1178607326833577985_twitter,['African'],['African'],['None'],hatespeech,you dumb nigger im gonna have your head on a pike 
9540,1179097350519828480_twitter,['Caucasian'],['Caucasian'],['Economic'],offensive,do not ever buy a car from a redneck 
9890,22970566_gab,['Refugee'],"['Refugee', 'Other']",['Refugee'],normal,then seize the judge home by eminent domain and put the refugee center there 
10553,1179098202282369024_twitter,['None'],"['Other', 'Caucasian']",['None'],normal,yes i live in texas and no i am not a damn redneck 
10556,8660015_gab,['Arab'],['None'],['Arab'],normal,standwithisrael always was and will be with or with out the arabs 
10829,17575783_gab,"['Arab', 'Refugee']",['Refugee'],"['Arab', 'Women', 'Refugee']",offensive,can this bitch from saudia arabia be deported already 
12045,1160689817224654848_twitter,['None'],['None'],['None'],normal,after an update phoenix gang members can no longer attack the weaponsmaster 
13346,1178677159382179840_twitter,"['Men', 'Women', 'Homosexual']",['Homosexual'],"['Men', 'Minority', 'Indigenous', 'Caucasian', 'Nonreligious', 'Homosexual']",hatespeech,queer eye is literally palatable faggotry for straight people dont me 
14943,21884077_gab,['Hispanic'],"['Refugee', 'Hispanic']",['Hispanic'],hatespeech,it is that another beaner who won the affirmative action diversity lottery 
