,post_id,text_str,final_label
0,5529520_gab,fuck trudeau no to islam kick the muzzies out no more ocanadaourhomeandnativeland,hatespeech
1,5529520_gab,do it trudeau no to mohammedanism give up the muzzies out ocanadaourhomeandnativeland,hatespeech
2,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland,hatespeech
3,5529520_gab,have it away trudeau no to mohammedanism kicking the muzzies out ocanadaourhomeandnativeland,hatespeech
4,5529520_gab,fuck ocanadaourhomeandnativeland no to islam kick the muzzies out trudeau,hatespeech
5,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland ,hatespeech
6,11762516_gab,endure plunk for to breitbart you legal care a slow baby boomer,offensive
7,11762516_gab,hold out backbone to breitbart you intelligent the likes of a mentally retarded baby boomer,offensive
8,11762516_gab,go back to backwards breitbart you sound like a retarded boomer,offensive
9,11762516_gab,go back to breitbart you sound like a retarded boomer,offensive
10,11762516_gab,go back to breitbart you baby boomer sound like a retarded boomer,offensive
11,11762516_gab,go back to breitbart you sound like a retarded boomer ,offensive
12,1182326476101836800_twitter,gentle reminder that monitor game journalists are boot licking retards all of them,offensive
13,1182326476101836800_twitter,appease monitor that mettlesome diarist are bring up drubbing delay all of them,offensive
14,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them,offensive
15,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards of all them,offensive
16,1182326476101836800_twitter,crippled gentle reminder that game journalists are boot licking retards all of them,offensive
17,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them ,offensive
18,1178607326833577985_twitter,you dumb nigger head gonna have your im on a pike,hatespeech
19,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike,hatespeech
20,1178607326833577985_twitter,you dumb nigger im gonna have your head on accept a pike,hatespeech
21,1178607326833577985_twitter,you dumb nigger head gonna have your im on a pike,hatespeech
22,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike,hatespeech
23,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike ,hatespeech
24,1179097350519828480_twitter,do not of all time steal a gondola from a cracker,offensive
25,1179097350519828480_twitter,do not ever buy a car from a redneck,offensive
26,1179097350519828480_twitter,do not ever buy a of all time car from a redneck,offensive
27,1179097350519828480_twitter,do not ever buy a car redneck a from,offensive
28,1179097350519828480_twitter,do not ever so bargain a elevator car from a cracker,offensive
29,1179097350519828480_twitter,do not ever buy a car from a redneck ,offensive
30,22970566_gab,then seize the home judge by eminent domain and put the refugee center there,normal
31,22970566_gab,then seize the judge home by eminent domain and put the refugee aside center there,normal
32,22970566_gab,then seize the judge home by eminent domain and put the refugee center there,normal
33,22970566_gab,then grab the justice interior by lofty sphere and arrange the refugee nitty gritty there,normal
34,22970566_gab,then seize the judge home by eminent nursing home domain and put the refugee center there,normal
35,22970566_gab,then seize the judge home by eminent domain and put the refugee center there ,normal
36,1179098202282369024_twitter,yes i live in texas no i am not a damn redneck,normal
37,1179098202282369024_twitter,yes redneck live in texas and no i am not a damn i,normal
38,1179098202282369024_twitter,i live in texas and no i am not damn redneck,normal
39,1179098202282369024_twitter,yes i live in texas and no not am i a damn redneck,normal
40,1179098202282369024_twitter,yes i live in texas and no i am no more not a damn redneck,normal
41,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck ,normal
42,8660015_gab,standwithisrael ever was and will be with or with out the arab,normal
43,8660015_gab,standwithisrael always was and will be with or with out the arabs,normal
44,8660015_gab,standwithisrael always was and will be with or with out arabs the,normal
45,8660015_gab,standwithisrael always was and will be with or arab with out the arabs,normal
46,8660015_gab,standwithisrael always was and will be with the with out or arabs,normal
47,8660015_gab,standwithisrael always was and will be with or with out the arabs ,normal
48,17575783_gab,can this bitch from exile saudia arabia be deported already,offensive
49,17575783_gab,can this bitch from exile saudia arabia be deported already,offensive
50,17575783_gab,can this bitch saudia arabia be deported already,offensive
51,17575783_gab,can this bitch from saudia arabia be deported already,offensive
52,17575783_gab,can this bellyache from saudia arabian peninsula be carry already,offensive
53,17575783_gab,can this bitch from saudia arabia be deported already ,offensive
