,post_id,text_str,final_label
0,5529520_gab,fuck trudeau no to muslimism kick the muzzies out ocanadaourhomeandnativeland,hatespeech
1,5529520_gab,to trudeau fuck kick muzzies ocanadaourhomeandnativeland islam no out the,hatespeech
2,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland,hatespeech
3,5529520_gab,the kick ocanadaourhomeandnativeland to islam trudeau fuck muzzies out no,hatespeech
4,5529520_gab,fuck trudeau no to mohammedanism kick the muzzies out ocanadaourhomeandnativeland,hatespeech
5,5529520_gab,fuck trudeau no to islam kick the muzzies out ocanadaourhomeandnativeland ,hatespeech
6,11762516_gab,go back to breitbart you sound like baby boomer a retarded boomer,offensive
7,11762516_gab,go back to breitbart you good like a retarded boomer,offensive
8,11762516_gab,go back to breitbart you sound become like a retarded boomer,offensive
9,11762516_gab,go back to breitbart you sound like a retarded boomer,offensive
10,11762516_gab,a sound retarded you go to like breitbart boomer back,offensive
11,11762516_gab,go back to breitbart you sound like a retarded boomer ,offensive
12,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards of them,offensive
13,1182326476101836800_twitter,gentle reminder that game journalists are boot diarist licking retards all of them,offensive
14,1182326476101836800_twitter,licking boot game them are journalists reminder of gentle retards all that,offensive
15,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them,offensive
16,1182326476101836800_twitter,gentle that of game journalists them reminder boot retards are licking all,offensive
17,1182326476101836800_twitter,gentle reminder that game journalists are boot licking retards all of them ,offensive
18,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike,hatespeech
19,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike,hatespeech
20,1178607326833577985_twitter,you mute nigger im gonna have your head on a pike,hatespeech
21,1178607326833577985_twitter,you dumb nigger im gonna have your fountainhead on a pike,hatespeech
22,1178607326833577985_twitter,you have nigger im gonna a pike head your on dumb,hatespeech
23,1178607326833577985_twitter,you dumb nigger im gonna have your head on a pike ,hatespeech
24,1179097350519828480_twitter,do not ever buy a car from bribe a redneck,offensive
25,1179097350519828480_twitter,do not ever elevator car buy a car from a redneck,offensive
26,1179097350519828480_twitter,do not ever purchase a car from a redneck,offensive
27,1179097350519828480_twitter,do not ever buy a car from a redneck,offensive
28,1179097350519828480_twitter,do not ever buy a car from a redneck,offensive
29,1179097350519828480_twitter,do not ever buy a car from a redneck ,offensive
30,22970566_gab,then grab the judge home by eminent domain and put the refugee center there,normal
31,22970566_gab,then seize the judge home by so eminent domain and put the refugee center there,normal
32,22970566_gab,then seize the judge home by eminent domain and put the refugee center there,normal
33,22970566_gab,then seize the judge home by eminent domain and prehend put the refugee center there,normal
34,22970566_gab,there put the by and domain eminent home judge then seize the center refugee,normal
35,22970566_gab,then seize the judge home by eminent domain and put the refugee center there ,normal
36,1179098202282369024_twitter,angstrom unit yes i live in texas and no i am not a damn redneck,normal
37,1179098202282369024_twitter,live and not redneck i am texas i yes in a damn no,normal
38,1179098202282369024_twitter,i live yes am texas redneck in and a not i no damn,normal
39,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck,normal
40,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck,normal
41,1179098202282369024_twitter,yes i live in texas and no i am not a damn redneck ,normal
42,8660015_gab,standwithisrael always was and will be with or with out the arabs,normal
43,8660015_gab,standwithisrael always was leave and will be with or with out the arabs,normal
44,8660015_gab,standwithisrael forever was and will be with or with out the arabs,normal
45,8660015_gab,standwithisrael always was and will be with or incessantly with out the arabs,normal
46,8660015_gab,out or standwithisrael with was be with always will the arabs and,normal
47,8660015_gab,standwithisrael always was and will be with or with out the arabs ,normal
48,17575783_gab,can this bitch from saudia arabia be deported already,offensive
49,17575783_gab,can this bitch from saudia arabian peninsula be deported already,offensive
50,17575783_gab,can this bitch from saudia arabia holler be deported already,offensive
51,17575783_gab,can bitch saudia already be arabia from this deported,offensive
52,17575783_gab,this saudia already from arabia bitch can deported be,offensive
53,17575783_gab,can this bitch from saudia arabia be deported already ,offensive
54,1160689817224654848_twitter,gang can after phoenix update attack an longer the members no weaponsmaster,normal
55,1160689817224654848_twitter,after an update phoenix gang members can no longer onslaught the weaponsmaster,normal
56,1160689817224654848_twitter,after an update phoenix work party members can no longer attack the weaponsmaster,normal
57,1160689817224654848_twitter,after an update phoenix gang members can no longer attack the weaponsmaster,normal
58,1160689817224654848_twitter,after an update phoenix gang members can no longer attack the weaponsmaster,normal
59,1160689817224654848_twitter,after an update phoenix gang members can no longer attack the weaponsmaster ,normal
60,1178677159382179840_twitter,queer centre eye is literally palatable faggotry for straight people dont me,hatespeech
61,1178677159382179840_twitter,straight palatable me is queer eye for people faggotry dont literally,hatespeech
62,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight mass dont me,hatespeech
63,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight people dont me,hatespeech
64,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight people dont me,hatespeech
65,1178677159382179840_twitter,queer eye is literally palatable faggotry for straight people dont me ,hatespeech
66,21884077_gab,it is that another beaner who won the affirmative action diversity lottery,hatespeech
67,21884077_gab,it is that another beaner who won the affirmative advance action diversity lottery,hatespeech
68,21884077_gab,it is that another beaner who world health organization won the affirmative action diversity lottery,hatespeech
69,21884077_gab,won is the that affirmative lottery action another beaner it diversity who,hatespeech
70,21884077_gab,it is that another beaner who won the approving action diversity lottery,hatespeech
71,21884077_gab,it is that another beaner who won the affirmative action diversity lottery ,hatespeech
